codigo,tit_original,tit_convertido
66317,METAS INTERNACIONAIS DE SEGURANÇA DO PACIENTE NA PRÁTICA DO CUIDADO DE ENFERMAGEM EM UMA UNIDADE DE HEMODIÁLISE- RELATO DE EXPERIÊNCIA,Metas Internacionais de Segurança do Paciente na Prática do Cuidado de Enfermagem em uma Unidade de Hemodiálise - Relato de Experiência
66318,INTERVENÇÕES EDUCACIONAIS NA MINIMIZAÇÃO DE ERROS DE COLETA SANGUÍNEA PARA UREIA PÓS HEMODIÁLISE,Intervenções Educacionais na Minimização de Erros de Coleta Sanguínea para Ureia Pós Hemodiálise
66326,AVALIAÇÃO DO PERFIL ACIDOBÁSICO EM PACIENTE SUBMETIDOS À HEMODIÁLISE AMBULATORIAL NO HOSPITAL UNIVERSITÁRIO GAFFRÉE E GUINLE.,Avaliação do Perfil Acidobásico em Paciente Submetidos à Hemodiálise Ambulatorial no Hospital Universitário Gaffrée e Guinle.
66328,TAXA DE PACIENTES ENCAMINHADOS AO NEFROLOGISTA E TAXA DIÁLISE DE URGÊNCIA: REFLEXO DE UMA CAPITAL DO NORDESTE BRASILEIRO,Análise das Notificações Recebidas pelo Núcleo de Segurança do Paciente (NSP) em Unidade de Prestação de Serviço Nefrológico Móvel
66337,ASSOCIAÇÃO DE EPISCLERITE E NEFROPATIA POR IGA,Associação de Episclerite e Nefropatia por IGA
66338,EVOLUÇÃO DA INSUFICIÊNCIA RENAL DE IDOSOS EM TRATAMENTO CONSERVADOR,Evolução da Insuficiência Renal de Idosos em Tratamento Conservador
66339,LETRAMENTO FUNCIONAL EM SAÚDE: O QUANTO COMPREENDEM OS PACIENTES EM DIÁLISE PERITONEAL?,Letramento Funcional em Saúde: O Quanto Compreendem os Pacientes em Diálise Peritoneal?
66350,A ULTRASSONOGRAFIA CONTRASTADA NÃO DIFERENCIA PACIENTES COM BOA FUNÇÃO E DISFUNÇÃO RENAL NO PÓS-TRANSPLANTE RECENTE.,A Ultrassonografia Contrastada Não Diferencia Pacientes com Boa Função e Disfunção Renal no Pós-transplante Recente
66351,SURDEZ NEUROSSENSORIAL EM PACIENTES RENAIS CRÔNICOS → O QUE PENSAR ALÉM DE SÍNDROME DE ALPORT?,Surdez Neurossensorial em Pacientes Renais Crônicos - O que Pensar Além de Síndrome de Alport?
66352,UTILIZAÇÃO DA TÉCNICA DE MICROBOLHAS PARA CONFIRMAÇÃO DE POSICIONAMENTO DE CATETER DE DIÁLISE TUNELIZADO EM PACIENTES COM DOENÇA RENAL CRÔNICA SEM O USO DE FLUOROSCOPIA: UMA SÉRIE DE CASOS,Utilização da Técnica de Microbolhas para Confirmação de Posicionamento de Cateter de Diálise Tunelizado em Pacientes com Doença Renal Crônica Sem o Uso de Fluoroscopia: uma Série de Casos
66353,"FATORES ASSOCIADOS AO NÍVEL DE DEPENDÊNCIA EM PACIENTES EM HEMODIÁLISE DE UBÁ, MG.","Fatores Associados ao Nível de Dependência em Pacientes em Hemodiálise de Ubá, MG."
66354,ACOMETIMENTO RENAL EM PACIENTES COM MIELOMA MÚLTIPLO EM HOSPITAL DE CURITIBA (PR),Acometimento Renal em Pacientes com Mieloma Múltiplo em Hospital de Curitiba (PR)
66356,QUALIDADE DE VIDA NO PÓS-TRANSPLANTE: CONTRIBUIÇÃO E IMPORTÂNCIA NA REESTRUTURAÇÃO PSICOLÓGICA DO DOENTE RENAL CRÔNICO,Qualidade de Vida no Pós-transplante: Contribuição e Importância na Reestruturação Psicológica do Doente Renal Crônico
66357,PREPARAÇÕES CULINÁRIAS ADAPTADAS PARA DIETAS HIPOCALÊMICAS NO ATENDIMENTO AMBULATORIAL NUTRICIONAL DE PORTADORES DE DOENÇA RENAL CRÔNICA EM UM HOSPITAL PÚBLICO DE SÃO PAULO,Preparações Culinárias Adaptadas para Dietas Hipocalêmicas no Atendimento Ambulatorial Nutricional de Portadores de Doença Renal Crônica em um Hospital Público de São Paulo
66362,ATIVAÇÃO DA AMPK ESTÁ ASSOCIADA AO BLOQUEIO DA VIA MTOR E REDUÇÃO DA FIBROSE INDUZIDA PELO TGF-BETA EM MODELO IN VITRO,Ativação da AMPK  Está Associada ao Bloqueio da Via mTOR e Redução da Fibrose Induzida pelo TGF-beta em Modelo In Vitro
66376,INFARTO RENAL POR ARTERITE DE TAKAYASU,Infarto Renal por Arterite de Takayasu
66377,THE FULLPIERS PREDICTIVE MODEL IN WOMEN WITH HYPERTENSIVE DISORDERS OF PREGNANCY,The Fullpiers Predictive Model in Women with Hypertensive Disorders of Pregnancy
66379,PRINCIPAIS EVENTOS ADVERSOS IDENTIFICADOS NO USO DO MÉTODO DE PUNÇÃO BUTTONHOLE EM FÍSTULA ARTERIOVENOSA PARA HEMODIÁLISE,Principais Eventos Adversos Identificados no Uso do Método de Punção Buttonhole em Fístula Arteriovenosa para Hemodiálise
66380,LITÍASE VESICAL EM JOVEM: RELATO DE CASO,Litíase Vesical em Jovem: Relato de Caso
66385,"PERITONITE ESCLEROSANTE ENCAPSULADA: UMA COMPLICAÇÃO RARA, MAS DE ALTA MORBIMORTALIDADE","Peritonite Esclerosante Encapsulada: uma Complicação Rara, Mas de Alta Morbimortalidade"
66386,O PAPEL DA ULTRASSONOGRAFIA RENAL EM PACIENTES COM LESÃO RENAL INTERNADOS EM UNIDADES DE TERAPIA INTENSIVA: UM ESTUDO COORTE.,O Papel da Ultrassonografia Renal em Pacientes com Lesão Renal Internados em Unidades de Terapia Intensiva: um Estudo Coorte.
66387,FATORES DE RISCO PARA DOENÇA RENAL CRÔNICA: RASTREAMENTO NA POPULAÇÃO GERAL NO DIA MUNDIAL DO RIM,Fatores de Risco para Doença Renal Crônica: Rastreamento na População Geral no Dia Mundial do Rim
66388,EFEITOS DO PROGRAMA DE FISIOTERAPIA INTRADIALÍTICA NA QUALIDADE DE VIDA DE PACIENTES RENAIS CRÔNICOS,Efeitos do Programa de Fisioterapia Intradialítica na Qualidade de Vida de Pacientes Renais Crônicos
66389,A IMPORTÂNCIA DA ASSISTÊNCIA ODONTOLÓGICA AOS PACIENTES DO CENTRO DE HEMODIÁLISE DE UM HOSPITAL UNIVERSITÁRIO (H.U.),A Importância da Assistência Odontológica aos Pacientes do Centro de Hemodiálise de um Hospital Universitário (H.U.)
66390,I CORRIDA E CAMINHADA DA CLÍNICA NEFROLÓGICA DO INTERIOR DE SÃO PAULO: PERFIL DOS PARTICIPANTES DESTE EVENTO DE PREVENÇÃO À DOENÇA RENAL CRÔNICA,I Corrida e Caminhada da Clínica Nefrológica do Interior de São Paulo: Perfil dos Participantes Deste Evento de Prevenção à Doença Renal Crônica
66391,ESTILO DE VIDA SAUDÁVEL PARA EXALTAR O DIA MUNDIAL DO RIM: RELATO DE EXPERIÊNCIA,Estilo de Vida Saudável para Exaltar o Dia Mundial do Rim: Relato de Experiência
66396,NECESSIDADE DE INFORMAÇÕES SOBRE A DOENÇA RENAL CRÔNICA,Necessidade de Informações sobre a Doença Renal Crônica
66397,IMPACTO DE UMA INTERVENÇÃO NUTRICIONAL NO CONTROLE DE GANHO DE PESO INTERDIALÍTICO DE PACIENTES EM HEMODIÁLISE,Impacto de uma Intervenção Nutricional no Controle de Ganho de Peso Interdialítico de Pacientes em Hemodiálise
66398,DIÂMETRO ABDOMINAL SAGITAL COMO FERRAMENTA PARA O RASTREIO DE OBESIDADE E INFLAMAÇÃO EM PACIENTES COM DOENÇA RENAL CRÔNICA DIALÍTICA,Diâmetro Abdominal Sagital como Ferramenta para o Rastreio de Obesidade e Inflamação em Pacientes com Doença Renal Crônica Dialítica
66399,REPERCUSSÕES DO CONTEXTO SOCIOECONÔMICO DO BRASIL NO TRANSPLANTE RENAL,Repercussões do Contexto Socioeconômico do Brasil no Transplante Renal
66401,"CONHECIMENTO DA POPULAÇÃO GERAL SOBRE A DOENÇA RENAL CRÔNICA: RESULTADOS DE UMA AMOSTRA REPRESENTATIVA DA REGIÃO AUTÔNOMA DA MADEIRA, PORTUGAL","Conhecimento da População Geral sobre a Doença Renal Crônica: Resultados de uma Amostra Representativa da Região Autônoma da Madeira, Portugal"
66402,EXPRESSÃO RENAL DE MARCADORES DE LESÃO E APOPTOSE EM RATOS SUBMETIDOS À ISQUEMIA E REPERFUSÃO E TRATAMENTO PRÉVIO COM CASTANHA-DO-BRASIL,Expressão Renal de Marcadores de Lesão e Apoptose em Ratos Submetidos à Isquemia e Reperfusão e Tratamento Prévio com Castanha-do-Brasil
66404,PROJETO: INTERVENÇÕES COLETIVAS NA PREVENÇÃO DA DOENÇA RENAL CRÔNICA: INTEGRAÇÃO ENSINO-SERVIÇO.,Projeto: Intervenções Coletivas na Prevenção da Doença Renal Crônica: Integração Ensino-Serviço.
66405,ADESÃO À TERAPIA IMUNOSSUPRESSORA DOS PACIENTES SUBMETIDOS AO TRANSPLANTE RENAL: UMA REVISÃO INTEGRATIVA,Adesão à Terapia Imunossupressora dos Pacientes Submetidos ao Transplante Renal: uma Revisão Integrativa
66408,PERFIL DO PACIENTE HEMODIALÍTICO EM UNIDADE DE TERAPIA INTENSIVA,Perfil do Paciente Hemodialítico em Unidade de Terapia Intensiva
66413,EQUILÍBRIO E OCORRÊNCIA DE QUEDA EM PACIENTES EM HEMODIÁLISE: ESTUDO PILOTO,Equilíbrio e Ocorrência de Queda em Pacientes em Hemodiálise: Estudo Piloto
66421,FOSFATASE ALCALINA PREDIZ FRATURAS EM PACIENTES COM HIPERPARATIREOIDISMO GRAVE SECUNDÁRIO À DRC EM HEMODIÁLISE,Fosfatase Alcalina Prediz Fraturas em Pacientes com Hiperparatireoidismo Grave Secundário à DRC em Hemodiálise
66423,ANÁLISE SOCIODEMOGRÁFICA DOS RECEPTORES DE TRANSPLANTE RENAL NO INTERIOR DA AMAZÔNIA BRASILEIRA,Análise Sociodemográfica dos Receptores de Transplante Renal no Interior da Amazônia Brasileira
66424,PERFIL DOS PACIENTES EM TRATATMENTO HEMODIALÍTICO EM UMA CIDADE DO INTERIOR DA REGIÃO NORTE,Perfil dos Pacientes em Tratatmento Hemodialítico em uma Cidade do Interior da Região Norte
66425,PAPEL DA MONITORIZAÇÃO AMBULATORIAL DA PRESSÃO ARTERIAL NO SEGUIMENTO DE RECEPTORES DE TRANSPLANTE RENAL,Papel da Monitorização Ambulatorial da Pressão Arterial no Seguimento de Receptores de Transplante Renal
66426,INFECÇÃO DO TRATO URINÁRIO E TRANSPLANTE RENAL: ANÁLISE DOS PACIENTES TRANSPLANTADOS EM UM HOSPITAL NO INTERIOR DA AMAZÔNIA,Infecção do Trato Urinário e Transplante Renal: Análise dos Pacientes Transplantados em um Hospital no Interior da Amazônia
66428,"AVALIAÇÃO CLÍNICA INICIAL DOS TRANSPLANTES RENAIS, DOADORES VIVOS OU FALECIDOS, INDUZIDOS COM TIMOGLOBULINA DOSE ÚNICA NO HOSPITAL UNIVERSITÁRIO MÁRIO PALMÉRIO (HUMP).","Avaliação Clínica Inicial dos Transplantes Renais, Doadores Vivos ou Falecidos, Induzidos com Timoglobulina Dose Única no Hospital Universitário Mário Palmério (HUMP)"
66429,COMPLICAÇÕES EM RECEPTORES DOS TRANSPLANTES RENAIS DE UM PROGRAMA NO INTERIOR DA AMAZÔNIA BRASILEIRA,Complicações em Receptores dos Transplantes Renais de um Programa no Interior da Amazônia Brasileira
66431,CONHECIMENTO SOBRE DOENÇA RENAL CRÔNICA DE PACIENTES DO PROGRAMA HIPERDIA EM TRÊS UNIDADES BÁSICAS DE SAÚDE DE UM MUNICÍPIO DO INTERIOR DA AMAZÔNIA,Conhecimento sobre Doença Renal Crônica de Pacientes do Programa Hiperdia em Três Unidades Básicas de Saúde de um Município do Interior da Amazônia
66432,CONHECIMENTO SOBRE HIPERTENSÃO ARTERIAL EM PACIENTES DO HIPERDIA DE UM MUNICÍPIO NO INTERIOR DA AMAZÔNIA,Conhecimento sobre Hipertensão Arterial em Pacientes do Hiperdia de um Município no Interior da Amazônia
66433,A MULHER E O TRANSPLANTE RENAL: PREVALÊNCIA DO PÚBLICO FEMININO NO PROCESSO DE TRANSPLANTAÇÃO EM UM HOSPITAL DE REFERÊNCIA DO BAIXO AMAZONAS,A Mulher e o Transplante Renal: Prevalência do Público Feminino no Processo de Transplantação em um Hospital de Referência do Baixo Amazonas
66434,PERFIL CLÍNICO-EPIDEMIOLÓGICO DOS PACIENTES EM DIÁLISE PERITONEAL EM UM CENTRO DIALISADOR NO INTERIOR DA AMAZÔNIA BRASILEIRA,Perfil Clínico-Epidemiológico dos Pacientes em Diálise Peritoneal em um Centro Dialisador no Interior da Amazônia Brasileira
66435,TRANSPLANTE RENAL: ANÁLISE DA INCIDÊNCIA E DOS FATORES DE RISCO PARA COMPLICAÇÕES INFECCIOSAS OCORRIDAS EM UM HOSPITAL DE REFERÊNCIA DO BAIXO AMAZONAS,Transplante Renal: Análise da Incidência e dos Fatores de Risco para Complicações Infecciosas Ocorridas em um Hospital de Referência do Baixo Amazonas
66436,ANÁLISE DA CARGA VIRAL EM TRANSPLANTADOS RENAIS COMO PARÂMETRO PARA O DESENVOLVIMENTO DA DOENÇA INFECCIOSA POR CITOMEGALOVÍRUS EM UMA CIDADE NO INTERIOR DA AMAZÔNIA,Análise da Carga Viral em Transplantados Renais como Parâmetro para o Desenvolvimento da Doença Infecciosa por Citomegalovírus em uma Cidade no Interior da Amazônia
66438,"PERFIL EPIDEMIOLÓGICO, CLÍNICO E LABORATORIAL DOS DOADORES DE RIM DE UM CENTRO TRASPLANTADOR PÚBLICO DA AMAZÔNIA","Perfil Epidemiológico, Clínico e Laboratorial dos Doadores de Rim de um Centro Trasplantador Público da Amazônia"
66439,CLINICAL OUTCOMES IN ANURIC PERITONEAL DIALYSIS – RESULTS OF A NATIONAL COHORT,Clinical Outcomes in Anuric Peritoneal Dialysis – Results of a National Cohort
66440,EFICÁCIA E SEGURANÇA DE REGIMES LIVRES DE ESTEROIDES APÓS O TRANSPLANTE RENAL,Eficácia e Segurança de Regimes Livres de Esteroides após o Transplante Renal
66441,REGIME LIVRE DE ESTEROIDES EM RECEPTORES DE TRANSPLANTE RENAL TRATADOS COM EVEROLIMO E TACROLIMO EM BAIXAS EXPOSIÇÕES,Regime Livre de Esteroides em Receptores de Transplante Renal Tratados com Everolimo e Tacrolimo em Baixas Exposições
66442,USO DA MÍDIA DIGITAL INFORMATIVA COMO FERRAMENTA ADJUVANTE EM PREVENÇÃO E TRATAMENTO DA DOENÇA RENAL CRÔNICA,Uso da Mídia Digital Informativa como Ferramenta Adjuvante em Prevenção e Tratamento da Doença Renal Crônica
66444,NECESSIDADE DE HEMODIÁLISE NO PÓS-OPERATÓRIO DE TRANSPLANTE RENAL,Necessidade de Hemodiálise no Pós-Operatório de Transplante Renal
66445,ESTUDO METABOLÔMICO POR RESSONÂNCIA MAGNÉTICA NUCLEAR (RMN) DE PACIENTES EM HEMODIÁLISE CONVENCIONAL (HD) NA BUSCA POR NOVAS TOXINAS URÊMICAS (TU).,Estudo Metabolômico por Ressonância Magnética Nuclear (RMN) de Pacientes em Hemodiálise Convencional (HD) na Busca por Novas Toxinas Urêmicas (TU).
66448,PACIENTE COM DOENÇA RENAL CRONICA EM FILA PARA O TRANSPLANTE,Paciente com Doença Renal Cronica em Fila para o Transplante
66451,AVALIAÇÃO DAS BARREIRAS À PRÁTICA DE ATIVIDADE FÍSICA EM PACIENTES COM DOENÇAS CRÔNICAS NÃO TRANSMISSÍVEIS,Avaliação das Barreiras à Prática de Atividade Física em Pacientes com Doenças Crônicas Não Transmissíveis
66455,AVALIAÇÃO DA SEGURANÇA E DA ADERÊNCIA A UM PROGRAMA DE TREINAMENTO DE FORÇA REALIZADO DURANTE AS SESSÕES DE HEMODIÁLISE EM PACIENTES COM DOENÇA RENAL CRÔNICA,Avaliação da Segurança e da Aderência a um Programa de Treinamento de Força Realizado Durante as Sessões de Hemodiálise em Pacientes com Doença Renal Crônica
66456,ARBOVIROSES EM PACIENTES TRANSPLANTADOS RENAIS,Arboviroses em Pacientes Transplantados Renais
66457,PERFIL CLÍNICO E LABORATORIAL DE PACIENTES PORTADORES DE DOENÇA RENAL CRÔNICA QUE INICIAM HEMODIÁLISE E A RELAÇÃO COM CONSULTAS AMBULATORIAIS PRÉVIAS,Perfil Clínico e Laboratorial de Pacientes Portadores de Doença Renal Crônica que Iniciam Hemodiálise e a Relação com Consultas Ambulatoriais Prévias
66465,ANÁLISE DE CULTURAS DE LÍQUIDO PERITONEAL DE PACIENTES EM DIÁLISE PERITONEAL COM PERITONITE,Análise de Culturas de Líquido Peritoneal de Pacientes em Diálise Peritoneal com Peritonite
66466,AVALIAÇÃO DO NÍVEL DE DEPENDÊNCIA E DA QUALIDADE DE VIDA DE PACIENTES EM HEMODIÁLISE.,Avaliação do Nível de Dependência e da Qualidade de Vida de Pacientes em Hemodiálise.
66467,AVALIAÇÃO DA INCIDÊNCIA E PROGRESSÃO DA BACTERIÚRIA ASSINTOMÁTICA E DA INFECÇÃO DO TRATO URINÁRIO EM TRANSPLANTADOS RENAIS.,Avaliação da Incidência e Progressão da Bacteriúria Assintomática e da Infecção do Trato Urinário em Transplantados Renais.
66470,RELATO DE CASO: INSUFICIÊNCIA RENAL AGUDA (IRA) KDIGO III SECUNDÁRIA A ESTENOSE SUBOCLUSIVA DE ARTÉRIA RENAL EM PACIENTE COM RIM ÚNICO FUNCIONANTE - UM CASO BEM SUCEDIDO COM TERAPIA PERCUTÂNEA ENDOVASCULAR PRECOCE,Relato de Caso: Insuficiência Renal Aguda (IRA) Kdigo Iii Secundária a Estenose Suboclusiva de Artéria Renal em Paciente com Rim Único Funcionante - um Caso Bem Sucedido com Terapia Percutânea Endovascular Precoce
66473,RASTREAMENTO DE FATORES DE RISCO PARA DOENÇA RENAL CRÔNICA EM UMA UNIVERSIDADE DE FORTALEZA NO DIA MUNDIAL DO RIM 2018: FOCO NA SAÚDE DA MULHER,Rastreamento de Fatores de Risco para Doença Renal Crônica em uma Universidade de Fortaleza no Dia Mundial do Rim 2018: Foco na Saúde da Mulher
66474,SÍNDROME DE LISE TUMORAL ESPONTÂNEA EM TUMOR SÓLIDO RENAL: RELATO DE CASO.,Síndrome de Lise Tumoral Espontânea em Tumor Sólido Renal: Relato de Caso.
66475,RENAL HEALTH: UMA NOVA PROPOSTA PARA O CUIDADO DA DOENÇA RENAL CRÔNICA,Renal Health: uma Nova Proposta para o Cuidado da Doença Renal Crônica
66476,PROJETO RENAL HEALTH: PREVENINDO E TRATANDO A DOENÇA RENAL CRÔNICA ATRAVÉS DA TECNOLOGIA DA INFORMAÇÃO,Projeto Renal Health: Prevenindo e Tratando a Doença Renal Crônica Através da Tecnologia da Informação
66477,MELHORANDO OS ÍNDICES DE INSCRITOS NO TRANSPLANTE RENAL EM UM CENTRO TRANSPLANTADOR DO SUS,Melhorando os Índices de Inscritos no Transplante Renal em um Centro Transplantador do SUS
66478,A DOENÇA RENAL CRÔNICA EM RATOS WISTAR COMO CONSEQUÊNCIA DE EVENTOS DE LESÃO RENAL AGUDA (LRA) DURANTE O ENVELHECIMENTO.,A Doença Renal Crônica em Ratos Wistar como Consequência de Eventos de Lesão Renal Aguda (LRA) Durante o Envelhecimento.
66480,AUMENTO DO DIÂMETRO LONGITUDINAL DO BAÇO EM PACIENTES SUBMETIDOS À HEMODIÁLISE,Aumento do Diâmetro Longitudinal do Baço em Pacientes Submetidos à Hemodiálise
66481,LESÃO RENAL AGUDA CAUSADA POR HIPERVITAMINOSE D: RELATO DE CASO,Lesão Renal Aguda Causada por Hipervitaminose D: Relato de Caso
66482,ANÁLISE DA FUNÇÃO RENAL NUMA AMOSTRA DA POPULAÇÃO IDOSA DE VOLTA REDONDA,Análise da Função Renal Numa Amostra da População Idosa de Volta Redonda
66483,BENEFÍCIOS DOS EXERCÍCIOS FISIOTERAPÊUTICOS DURANTE A HEMODIÁLISE (EF-HD) EM CRIANÇAS E ADOLESCENTES (P),Benefícios dos Exercícios Fisioterapêuticos Durante a Hemodiálise (EF-HD) em Crianças e Adolescentes (P)
66484,DETECÇÃO E PREVENÇÃO DE DOENÇA RENAL NUMA AMOSTRA DA POPULAÇÃO FEMININA EM VOLTA REDONDA,Detecção e Prevenção de Doença Renal Numa Amostra da População Feminina em Volta Redonda
66485,AS REPERCUSSÕES NO ESTILO DE VIDA E NAS ATIVIDADES LABORAIS DOS PACIENTES COM DOENÇA RENAL CRÔNICA APÓS O TRANSPLANTE RENAL,As Repercussões no Estilo de Vida e nas Atividades Laborais dos Pacientes com Doença Renal Crônica Após o Transplante Renal
66486,"ESCORES DE FIB4 E APRI PREDIZEM FIBROSE HEPÁTICA AVALIADA POR ELASTOGRAFIA TRANSITÓRIA EM PACIENTES COM DRC EM HEMODIÁLISE, INFECTADOS POR PELO VHC","Escores de FIB4 e APRI Predizem Fibrose Hepática Avaliada por Elastografia Transitória em Pacientes com DRC em Hemodiálise, Infectados pelo VHC"
66487,MOTIVAÇÕES PARA DOAÇÃO DE RIM EM VIDA: A PERCEPÇÃO DOS DOADORES,Motivações para Doação de Rim em Vida: a Percepção dos Doadores
66488,EVOLUÇÃO CLÍNICA DE TRANSPLANTE RENAL EM CRIANÇA COM CISTINOSE,Evolução Clínica de Transplante Renal em Criança com Cistinose
66489,As Repercussões no Estilo de Vida e nas Atividades Laborais dos Pacientes com Doença Renal Crônica após o Transplante Renal,Avaliação do Risco Cardiovascular e Associação com Novos Biomarcadores em Pacientes com Diabetes Mellitus Tipo 2
66491,A CINASE INDUZIDA POR SAL (SIK) COMO ALVO FARMACOLÓGICO DA HIPERTENSÃO SENSÍVEL AO SAL,A Cinase Induzida por Sal (SIK) como Alvo Farmacológico da Hipertensão Sensível ao Sal
66492,TUBULOPATIA PROXIMAL POR CADEIA LEVE: APRESENTAÇÃO MICROSCÓPICA ATÍPICA.,Tubulopatia Proximal por Cadeia Leve: Apresentação Microscópica Atípica.
66495,PREVALÊNCIA DE HIPERTENSÃO ARTERIAL SISTÊMICA E FATORES DE RISCO ASSOCIADOS PARA O DESENVOLVIMENTO DE DOENÇA RENAL CRÔNICA EM CAMPANHAS DE SAÚDE EM FORTALEZA.,Prevalência de Hipertensão Arterial Sistêmica e Fatores de Risco Associados para o Desenvolvimento de Doença Renal Crônica em Campanhas de Saúde em Fortaleza.
66500,ACURÁCIA DOS MODELOS PREDITIVOS DE FUNÇÃO TARDIA DO ENXERTO RENAL,Acurácia dos Modelos Preditivos de Função Tardia do Enxerto Renal
66501,RECIDIVA DE VASCULITE RELACIONADA AO ANTICORPO CITOPLASMÁTICO ANTINEUTRÓFILO (ANCA) APÓS O TRANSPLANTE RENAL.,Recidiva de Vasculite Relacionada Ao Anticorpo Citoplasmático Antineutrófilo (ANCA) Após o Transplante Renal.
66506,NEFRITE “LUPUS LIKE” (NEFROPATIA “FULL HOUSE”) : SÉRIE DE 04 CASOS,Nefrite “Lupus Like” (NEFROPATIA “Full House”): Série de 04 Casos
66507,AVALIAÇÃO DOS PACIENTES COM INJÚRIA RENAL AGUDA SUBMETIDOS À TERAPIA RENAL SUBSTITUTIVA NA UNIDADE DE TERAPIA INTENSIVA DO HOSPITAL UNIVERSITÁRIO MÁRIO PALMÉRIO (HUMP),Avaliação dos Pacientes com Injúria Renal Aguda Submetidos à Terapia Renal Substitutiva na Unidade de Terapia Intensiva do Hospital Universitário Mário Palmério (HUMP)
66509,AVALIAÇÃO DOS PACIENTES ATENDIDOS NO AMBULATÓRIO DE NEFROLOGIA EM BELO HORIZONTE QUANTO AO PERFIL NUTRICIONAL.,Avaliação dos Pacientes Atendidos no Ambulatório de Nefrologia em Belo Horizonte Quanto ao Perfil Nutricional.
66510,NEFROLITÍASE DE REPETIÇÃO POR ADENOMA DE PARATIREOIDE ECTÓPICO - RELATO DE CASO,Nefrolitíase de Repetição por Adenoma de Paratireoide Ectópico - Relato de Caso
66511,AVALIAÇÃO DO ESTADO NUTRICIONAL E DO CONSUMO ALIMENTAR DE PACIENTES COM DOENÇA RENAL CRÔNICA EM TRATAMENTO CONSERVADOR: UM ESTUDO LONGITUDINAL,Avaliação do Estado Nutricional e do Consumo Alimentar de Pacientes com Doença Renal Crônica em Tratamento Conservador: um Estudo Longitudinal
66512,NEFROLITÍASE E TOPIRAMATO: UM RELATO DE CASO,Nefrolitíase e Topiramato: um Relato de Caso
